radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
UMTS,302,220,45000,230283311,160,-79.482236,44.071959,0,1,1,1414195361,1414195518,
UMTS,302,220,45000,230281290,160,-79.481627,44.071678,58,2,1,1414195361,1414195518,
UMTS,302,220,45000,230293197,485,-79.5058375393,44.062035618,1348,89,1,1414195361,1416958316,
UMTS,302,220,45008,230281290,509,-79.4817186667,44.0717923333,71,3,1,1414195364,1414195518,
UMTS,302,220,45008,230293279,509,-79.4316813333,44.07388,3914,9,1,1414195364,1415481954,
UMTS,302,220,45000,230293279,162,-79.4343519535,44.0655264884,4090,43,1,1414195364,1415481762,
UMTS,302,220,45008,231070371,509,-79.4807855,44.0714205,19,2,1,1414195364,1414195518,
UMTS,302,220,45000,230267529,237,-79.47830225,44.0548035,103,8,1,1414251789,1414856842,
UMTS,302,220,45000,230267530,238,-79.4795513,44.05331275,256,20,1,1414251789,1414856842,
UMTS,302,220,45008,230269987,481,-79.45608,44.051557,0,1,1,1414266622,1414266683,
UMTS,302,220,45000,230276076,156,-79.4649939655,44.0549361379,664,29,1,1414266622,1414858204,
UMTS,302,220,45000,230270886,156,-79.4632515714,44.0495164286,102,7,1,1414266622,1414266683,
UMTS,302,220,45000,230283622,166,-79.4858603889,44.0571303333,192,18,1,1414458403,1416958043,
UMTS,302,220,45000,230271870,484,-79.4855015,44.0548605,16,2,1,1414458403,1414458650,
UMTS,302,220,45000,230267534,238,-79.4799872222,44.0548568889,198,9,1,1414458404,1414458650,
UMTS,302,220,45000,230278434,235,-79.4838019355,44.0574486774,459,31,1,1414458404,1416958043,
UMTS,302,220,45000,230276077,157,-79.4736575556,44.0563698889,902,18,1,1414458404,1414458560,
UMTS,302,220,45000,230267533,237,-79.4751795556,44.0559728889,161,9,1,1414458404,1414458650,
UMTS,302,220,45000,230293174,157,-79.4698283684,44.0572655526,276,38,1,1414458414,1414858204,
UMTS,302,220,45000,230278444,237,-79.476247587,44.0556266304,341,46,1,1414458415,1414858204,
